epoch,train_loss,grad_norm,train_accuracy,dev_loss,dev_accuracy,dev_eer
1,0.20445810362696648,3.561439652442932,0.9346875,0.157036543359092,0.9697713733698278,3.849431426126798
2,0.07463924245908857,2.385622290670872,0.985,0.0315080689023179,0.9953711157623572,1.2160525798462136
3,0.05809655481949449,2.2366782806068657,0.988125,0.033639608553052515,0.9925132828852037,1.530017281401258
4,0.035786675442941486,1.6155972348898648,0.99125,0.10735849609622483,0.9777411044920302,0.714269520013023
5,0.02359276034636423,0.9033988238684834,0.9959375,0.026942786676080844,0.9935598132345838,1.8837882093302667
6,0.03324494586093351,1.6230231221020222,0.990625,0.021257550717025207,0.9949686040895186,0.7849117538876111
7,0.027267647250555457,1.2751696985214949,0.99375,0.05749321710146933,0.9872001288037353,0.6212017389550837
8,0.024114033083897084,1.2210324399545789,0.993125,0.016879174915365013,0.9954113669296409,0.4687044976142316
9,0.035301913812872954,1.07964647796005,0.9953125,0.021889129153857892,0.9948075994203832,0.5881231767361247
10,0.022432881591957995,0.895767396595329,0.9946875,0.04268749673829528,0.9885686684913862,1.6561636246781566
11,0.01563377370184753,0.9149043682962656,0.9959375,0.09043715178217746,0.9711801642247625,1.6869996321787804
12,0.004362226657103747,0.35785173267126086,0.99875,0.17443730868825416,0.9656657543068748,1.649435960523151
13,0.010840090625570155,0.7810472585074604,0.9975,0.026384966261897798,0.992956045725326,0.5040256145515256
14,0.015165426129242406,0.6275813039671629,0.996875,0.12458803942125327,0.9741990017710513,0.6677356294840533
15,0.014648137504409534,0.7399280600901693,0.9953125,0.09793377225813692,0.9767348253099339,0.8645242066355397
16,0.003038162291049957,0.28387554170098156,0.999375,0.06339610353998479,0.9857510867815167,0.43114082595860237
17,0.007195281419990351,0.47460833815857767,0.99875,0.014358524835483591,0.9969409112864273,0.7804266444509409
18,0.0027813175454502927,0.2403511790605262,0.999375,0.01385047139047654,0.9971824182901304,0.43114082595860237
19,0.0022387199938384583,0.30536416560178625,0.999375,0.01438066422694448,0.9967799066172919,0.6234442936734187
20,0.007791817867400823,0.5542119170213118,0.9984375,0.04834302561906869,0.9911044920302688,0.8953602141361637
21,0.00790182532313338,0.3993698321795091,0.99875,0.10294889945182314,0.9800756721944937,0.6279294031100889
22,0.006974727015185636,0.3926054114801809,0.99875,0.020420568505962508,0.9958138786024795,0.7451055275136469
23,0.0010406885814154521,0.1297682722879108,0.9996875,0.041260840335590736,0.9929157945580421,1.2160525798462136
24,0.001979953878471861,0.17310842234059237,0.999375,0.03870678745115687,0.9938013202382869,0.7849117538876111
25,0.0029249373302445746,0.2404185424244497,0.999375,0.2197118385272846,0.9658267589760103,0.7495906369503171
26,0.0012798732845112682,0.15429970584926195,0.9996875,0.06725343203897555,0.9882869103203993,0.7451055275136469
27,0.001999494469273486,0.22872393584402745,0.999375,0.016026281460655923,0.9966189019481565,0.5881231767361247
28,0.007843568990574567,0.3496962904057,0.9984375,0.027261364085158356,0.9952906134277895,0.6189591842367484
29,0.0075113209950359305,0.43074704613653014,0.9990625,0.025127788587463885,0.9950893575913702,0.7075418558580177
30,0.0007533953749225475,0.11618857391411438,1.0,0.014183169726453091,0.9971421671228465,0.5881231767361247
31,0.006170811073352525,0.16940110993105917,0.999375,0.043170119707194664,0.9922315247142167,0.510753278706531
32,0.0009130545743028051,0.1612334012496285,1.0,0.02986442245424871,0.9950491064240863,0.5813955125811192
33,0.000428374979437649,0.02373699246090837,1.0,0.011888149902490942,0.9978264369666721,0.43114082595860237
34,0.0005327474295700086,0.05324342178471852,0.9996875,0.01488142463903855,0.9971421671228465,0.3935771543029732
35,0.00013092830733512528,0.013367099027964286,1.0,0.03873771037970048,0.9947673482530993,0.43114082595860237
36,0.0003885250567327603,0.07035946571384556,1.0,0.018106392525561545,0.9973836741265497,0.43114082595860237
37,0.00039284229704207975,0.08474261552270036,1.0,0.01735132453271177,0.9973031717919819,0.5129958334248662
38,0.012292352316599135,0.5205102838567108,0.998125,0.02059497925690616,0.9965383996135888,0.39581970902130825
39,0.0030557784381744567,0.35950254950934324,0.9990625,0.018805180542892635,0.9973434229592658,0.5129958334248662
40,0.00023024267584332848,0.014103920237976126,1.0,0.019002277010793905,0.9969811624537112,0.6654930747657182
41,0.00103739025984396,0.14335280293249525,0.9996875,0.021769563510418387,0.9966591531154404,0.5174809428615365
42,0.00029330129860682063,0.03975151621620171,1.0,0.015413244688340686,0.9975849299629689,0.3604985920840142
43,0.00019266959390733972,0.009471592478221283,1.0,0.011655133239484692,0.9980679439703751,0.31396470155504447
44,0.0007159659937133255,0.1384819052234525,0.9996875,0.028498047016567662,0.9959748832716149,0.38684949014796777
45,0.00043185890164750164,0.09191872034745757,1.0,0.020632291253744137,0.9972629206246981,0.3935771543029732
46,8.947747684942442e-05,0.008256348552531562,1.0,0.022835542975557836,0.9966994042827242,0.4333833806769375
47,0.00011172539754625177,0.007309988430497469,1.0,0.023104189814102706,0.9968201577845758,0.3537709279290088
48,0.00013592453077762912,0.008405921178782591,1.0,0.014763146153308667,0.9979069393012397,0.38684949014796777
49,0.0001310951061805099,0.010839606801237096,1.0,0.028994184539386535,0.9962163902753179,0.31396470155504447
50,0.0003482200334656227,0.10061359176397673,0.9996875,0.015885787375813972,0.9976654322975367,0.3537709279290088
